DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2023-0038-AUS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,Kimberley region (Western Australia),Heavy rains,,No,No,No,,,Km2,,,,2023,1,6,2023,1,10,,,363,114,477,,,,,,,97.13499264,"[{""adm2_code"":5472,""adm2_name"":""Derby-West Kimberley (S)""},{""adm2_code"":5569,""adm2_name"":""Wyndham-East Kimberley (S)""}]","[{""gid_2"":""AUS.11.137_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Wyndham-East Kimberley""},{""gid_2"":""AUS.11.40_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Derby-West Kimberley""}]",2023-01-23,2025-12-20
2000-0659-AUS,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,"Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts (New South Wales province)",,,No,No,No,,,Km2,,,,2000,10,,2000,10,,,,200,,200,,,,,,,54.89515197,"[{""adm2_code"":4944,""adm2_name"":""Ashfield (A)""},{""adm2_code"":4945,""adm2_name"":""Auburn (C)""},{""adm2_code"":4948,""adm2_name"":""Bankstown (C)""},{""adm2_code"":4963,""adm2_name"":""Botany Bay (C)""},{""adm2_code"":4967,""adm2_name"":""Burwood (A)""},{""adm2_code"":4972,""adm2_name"":""Canterbury (C)""},{""adm2_code"":5020,""adm2_name"":""Holroyd (C)""},{""adm2_code"":5023,""adm2_name"":""Hunters Hill (A)""},{""adm2_code"":5024,""adm2_name"":""Hurstville (C)""},{""adm2_code"":5030,""adm2_name"":""Kogarah (C)""},{""adm2_code"":5031,""adm2_name"":""Ku-ring-gai (A)""},{""adm2_code"":5035,""adm2_name"":""Lane Cove (A)""},{""adm2_code"":5044,""adm2_name"":""Manly (A)""},{""adm2_code"":5045,""adm2_name"":""Marrickville (A)""},{""adm2_code"":5048,""adm2_name"":""Mosman (A)""},{""adm2_code"":5060,""adm2_name"":""North Sydney (A)""},{""adm2_code"":5066,""adm2_name"":""Parramatta (C)""},{""adm2_code"":5069,""adm2_name"":""Pittwater (A)""},{""adm2_code"":5073,""adm2_name"":""Randwick (C)""},{""adm2_code"":5075,""adm2_name"":""Rockdale (C)""},{""adm2_code"":5076,""adm2_name"":""Ryde (C)""},{""adm2_code"":5085,""adm2_name"":""Strathfield (A)""},{""adm2_code"":5086,""adm2_name"":""Sutherland Shire (A)""},{""adm2_code"":5104,""adm2_name"":""Warringah (A)""},{""adm2_code"":5105,""adm2_name"":""Waverley (A)""},{""adm2_code"":5109,""adm2_name"":""Willoughby (C)""},{""adm2_code"":5114,""adm2_name"":""Woollahra (A)""},{""adm2_code"":143252,""adm2_name"":""Canada Bay (A)""},{""adm2_code"":154629,""adm2_name"":""Leichhardt (A)""},{""adm2_code"":154637,""adm2_name"":""Sydney (C)""}]","[{""gid_2"":""AUS.5.101_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""North Sydney""},{""gid_2"":""AUS.5.106_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Parramatta""},{""gid_2"":""AUS.5.108_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pittwater""},{""gid_2"":""AUS.5.112_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Randwick""},{""gid_2"":""AUS.5.114_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rockdale""},{""gid_2"":""AUS.5.115_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ryde""},{""gid_2"":""AUS.5.120_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Strathfield""},{""gid_2"":""AUS.5.121_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sutherland""},{""gid_2"":""AUS.5.122_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sydney""},{""gid_2"":""AUS.5.140_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Warringah""},{""gid_2"":""AUS.5.142_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Waverley""},{""gid_2"":""AUS.5.146_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Willoughby""},{""gid_2"":""AUS.5.150_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Woollahra""},{""gid_2"":""AUS.5.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Botany Bay""},{""gid_2"":""AUS.5.23_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Burwood""},{""gid_2"":""AUS.5.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Canada Bay""},{""gid_2"":""AUS.5.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Canterbury""},{""gid_2"":""AUS.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ashfield""},{""gid_2"":""AUS.5.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Auburn""},{""gid_2"":""AUS.5.65_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Holroyd""},{""gid_2"":""AUS.5.67_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hunters Hill""},{""gid_2"":""AUS.5.68_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hurstville""},{""gid_2"":""AUS.5.74_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kogarah""},{""gid_2"":""AUS.5.75_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ku-ring-gai""},{""gid_2"":""AUS.5.79_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lane Cove""},{""gid_2"":""AUS.5.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bankstown""},{""gid_2"":""AUS.5.81_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Leichhardt""},{""gid_2"":""AUS.5.88_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Manly""},{""gid_2"":""AUS.5.89_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Marrickville""},{""gid_2"":""AUS.5.92_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mosman""}]",2003-07-01,2025-12-20
2001-0087-AUS,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,AUS,Australia,Australia and New Zealand,Oceania,"Grafton, Maclean villages (Clarence Valley district, New South Wales province)",,,No,No,No,,,Km2,,,,2001,2,1,2001,2,1,,,,,,,,,,,,56.44657635,"[{""adm2_code"":154617,""adm2_name"":""Clarence Valley (A)""}]","[{""gid_2"":""AUS.5.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Clarence Valley""}]",2009-12-10,2025-12-20
2001-0103-AUS,No,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,AUS,Australia,Australia and New Zealand,Oceania,"Pigeon Hole, Kalkarindji, Daguragu areas (Victoria-Daly district, Northern Territory province), Borroloola, Ryan's Bend areas (Roper Gulf district, Northern Territory province), Devil's Springs area (Barkly district, Northern Territory province)",Tropical cyclone,,No,No,No,,32100,Km2,,,,2001,2,18,2001,2,23,,,670,,670,,,,,13000,23031,56.44657635,"[{""adm2_code"":154711,""adm2_name"":""Barkly (S)""},{""adm2_code"":154717,""adm2_name"":""Roper Gulf (S)""},{""adm2_code"":154719,""adm2_name"":""Victoria-Daly (S)""}]","[{""gid_2"":""AUS.6.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Roper Gulf""},{""gid_2"":""AUS.6.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Victoria-Daly""},{""gid_2"":""AUS.6.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Barkly""}]",2005-09-16,2025-12-20
2001-0301-AUS,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,AUS,Australia,Australia and New Zealand,Oceania,Gold Coast district (Queensland province),,,No,No,No,,,Kph,,,,2001,4,26,2001,4,26,,,180,,180,,,,,,,56.44657635,"[{""adm2_code"":154667,""adm2_name"":""Gold Coast (C)""}]","[{""gid_2"":""AUS.7.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gold Coast""}]",2003-07-01,2025-12-20
2001-0699-AUS,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province), Canberra (Unincorporated ACT district, Australian Capital Territory province)",,,Yes,No,Yes,,5500,Km2,,,,2001,12,25,2002,1,16,,,4400,,4400,,,35000,62006,90000,159443,56.44657635,"[{""adm2_code"":4940,""adm2_name"":""Unincorporated ACT""},{""adm2_code"":4944,""adm2_name"":""Ashfield (A)""},{""adm2_code"":4945,""adm2_name"":""Auburn (C)""},{""adm2_code"":4948,""adm2_name"":""Bankstown (C)""},{""adm2_code"":4963,""adm2_name"":""Botany Bay (C)""},{""adm2_code"":4967,""adm2_name"":""Burwood (A)""},{""adm2_code"":4972,""adm2_name"":""Canterbury (C)""},{""adm2_code"":5020,""adm2_name"":""Holroyd (C)""},{""adm2_code"":5023,""adm2_name"":""Hunters Hill (A)""},{""adm2_code"":5024,""adm2_name"":""Hurstville (C)""},{""adm2_code"":5030,""adm2_name"":""Kogarah (C)""},{""adm2_code"":5031,""adm2_name"":""Ku-ring-gai (A)""},{""adm2_code"":5035,""adm2_name"":""Lane Cove (A)""},{""adm2_code"":5044,""adm2_name"":""Manly (A)""},{""adm2_code"":5045,""adm2_name"":""Marrickville (A)""},{""adm2_code"":5048,""adm2_name"":""Mosman (A)""},{""adm2_code"":5060,""adm2_name"":""North Sydney (A)""},{""adm2_code"":5066,""adm2_name"":""Parramatta (C)""},{""adm2_code"":5069,""adm2_name"":""Pittwater (A)""},{""adm2_code"":5073,""adm2_name"":""Randwick (C)""},{""adm2_code"":5075,""adm2_name"":""Rockdale (C)""},{""adm2_code"":5076,""adm2_name"":""Ryde (C)""},{""adm2_code"":5085,""adm2_name"":""Strathfield (A)""},{""adm2_code"":5086,""adm2_name"":""Sutherland Shire (A)""},{""adm2_code"":5104,""adm2_name"":""Warringah (A)""},{""adm2_code"":5105,""adm2_name"":""Waverley (A)""},{""adm2_code"":5109,""adm2_name"":""Willoughby (C)""},{""adm2_code"":5114,""adm2_name"":""Woollahra (A)""},{""adm2_code"":143252,""adm2_name"":""Canada Bay (A)""},{""adm2_code"":154629,""adm2_name"":""Leichhardt (A)""},{""adm2_code"":154637,""adm2_name"":""Sydney (C)""}]","[{""gid_2"":""AUS.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Unincorporated Australian Capita""},{""gid_2"":""AUS.5.101_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""North Sydney""},{""gid_2"":""AUS.5.106_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Parramatta""},{""gid_2"":""AUS.5.108_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pittwater""},{""gid_2"":""AUS.5.112_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Randwick""},{""gid_2"":""AUS.5.114_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rockdale""},{""gid_2"":""AUS.5.115_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ryde""},{""gid_2"":""AUS.5.120_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Strathfield""},{""gid_2"":""AUS.5.121_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sutherland""},{""gid_2"":""AUS.5.122_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sydney""},{""gid_2"":""AUS.5.140_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Warringah""},{""gid_2"":""AUS.5.142_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Waverley""},{""gid_2"":""AUS.5.146_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Willoughby""},{""gid_2"":""AUS.5.150_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Woollahra""},{""gid_2"":""AUS.5.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Botany Bay""},{""gid_2"":""AUS.5.23_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Burwood""},{""gid_2"":""AUS.5.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Canada Bay""},{""gid_2"":""AUS.5.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Canterbury""},{""gid_2"":""AUS.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ashfield""},{""gid_2"":""AUS.5.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Auburn""},{""gid_2"":""AUS.5.65_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Holroyd""},{""gid_2"":""AUS.5.67_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hunters Hill""},{""gid_2"":""AUS.5.68_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hurstville""},{""gid_2"":""AUS.5.74_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kogarah""},{""gid_2"":""AUS.5.75_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ku-ring-gai""},{""gid_2"":""AUS.5.79_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lane Cove""},{""gid_2"":""AUS.5.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bankstown""},{""gid_2"":""AUS.5.81_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Leichhardt""},{""gid_2"":""AUS.5.88_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Manly""},{""gid_2"":""AUS.5.89_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Marrickville""},{""gid_2"":""AUS.5.92_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mosman""}]",2005-12-01,2025-12-20
2002-0157-AUS,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,AUS,Australia,Australia and New Zealand,Oceania,"Sydney, Liverpoool, Fairfield, Holroyd, Parramatta, Blacktown, The Hills Shire, Campbelltown districts (New South Wales province)",,Rain,No,No,Yes,,100,Kph,,,,2002,2,16,2002,2,16,,,,,,,,,,,,57.34184015,"[{""adm2_code"":4951,""adm2_name"":""The Hills Shire (A)""},{""adm2_code"":4956,""adm2_name"":""Blacktown (C)""},{""adm2_code"":4971,""adm2_name"":""Campbelltown (C)""},{""adm2_code"":4999,""adm2_name"":""Fairfield (C)""},{""adm2_code"":5020,""adm2_name"":""Holroyd (C)""},{""adm2_code"":5039,""adm2_name"":""Liverpool (C)""},{""adm2_code"":5066,""adm2_name"":""Parramatta (C)""},{""adm2_code"":154637,""adm2_name"":""Sydney (C)""}]","[{""gid_2"":""AUS.5.106_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Parramatta""},{""gid_2"":""AUS.5.122_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sydney""},{""gid_2"":""AUS.5.126_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""The Hills""},{""gid_2"":""AUS.5.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Blacktown""},{""gid_2"":""AUS.5.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Campbelltown""},{""gid_2"":""AUS.5.47_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Fairfield""},{""gid_2"":""AUS.5.65_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Holroyd""},{""gid_2"":""AUS.5.84_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Liverpool""}]",2005-05-10,2025-12-20
2003-0030-AUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,AUS,Australia,Australia and New Zealand,Oceania,"Canberra region (Unincorporated ACT district, Australian Capital Territory province)","High temperature, high winds",,Yes,No,No,,30000,Km2,,,,2003,1,8,2003,2,18,4,150,2500,,2650,,,264000,450177,300000,511565,58.64355298,"[{""adm2_code"":4940,""adm2_name"":""Unincorporated ACT""}]","[{""gid_2"":""AUS.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Unincorporated Australian Capita""}]",2004-08-12,2025-12-20
2003-0288-AUS,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,AUS,Australia,Australia and New Zealand,Oceania,Greater Bendigo district (Victoria province),,,No,No,No,,130,Kph,,,,2003,5,18,2003,5,18,,,240,30,270,,,,,,,58.64355298,"[{""adm2_code"":5378,""adm2_name"":""Greater Bendigo (C)""}]","[{""gid_2"":""AUS.10.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Greater Bendigo""}]",2003-06-16,2025-12-20
2003-0615-AUS,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,AUS,Australia,Australia and New Zealand,Oceania,Melbourne district (Victoria province),,Flood,No,No,No,,,Kph,,,,2003,12,3,2003,12,3,,,,,,,,75000,127891,93000,158585,58.64355298,"[{""adm2_code"":5396,""adm2_name"":""Melbourne (C)""}]","[{""gid_2"":""AUS.10.44_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Melbourne""}]",2003-12-22,2025-12-20
2004-0400-AUS,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,AUS,Australia,Australia and New Zealand,Oceania,"Victoria, New South Wales provinces",,,No,No,No,,,Kph,,,,2004,7,17,2004,7,18,,,600,,600,,,,,,,60.21357973,"[{""adm1_code"":470,""adm1_name"":""New South Wales""},{""adm1_code"":476,""adm1_name"":""Victoria""}]","[{""gid_1"":""AUS.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Victoria""},{""gid_1"":""AUS.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""New South Wales""}]",2004-08-09,2025-12-20
2004-0537-AUS,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,AUS,Australia,Australia and New Zealand,Oceania,"Repton, Urunga villages (Bellingen district, New South Wales province), Coffs Harbour district (New South Wales province)",Heavy rain,,No,No,Yes,,1820,Km2,,,Bellingen river,2004,10,19,2004,10,22,,,100,,100,,,,,5500,9134,60.21357973,"[{""adm2_code"":4953,""adm2_name"":""Bellingen (A)""},{""adm2_code"":154620,""adm2_name"":""Coffs Harbour (C)""}]","[{""gid_2"":""AUS.5.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bellingen""},{""gid_2"":""AUS.5.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Coffs Harbour""}]",2004-11-02,2025-12-20
2005-0014-AUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,AUS,Australia,Australia and New Zealand,Oceania,"Eyre peninsula (Ceduna (DC), Cleve (DC), Elliston (DC), Franklin Harbour (DC), Kimba (DC), Lower Eyre Peninsula (DC), Port Augusta (C), Port Lincoln (C), Streaky Bay (DC), Tumby Bay (DC), Whyalla (C), Wudinna (DC) districts, South Australia province)","High temperature, violent winds",,No,No,No,,1000,Km2,,,,2005,1,4,2005,1,26,12,20,200,,220,,,20000,32125,40000,64250,62.25647853,"[{""adm2_code"":5264,""adm2_name"":""Ceduna (DC)""},{""adm2_code"":5267,""adm2_name"":""Cleve (DC)""},{""adm2_code"":5270,""adm2_name"":""Elliston (DC)""},{""adm2_code"":5272,""adm2_name"":""Franklin Harbour (DC)""},{""adm2_code"":5279,""adm2_name"":""Kimba (DC)""},{""adm2_code"":5281,""adm2_name"":""Wudinna (DC)""},{""adm2_code"":5283,""adm2_name"":""Lower Eyre Peninsula (DC)""},{""adm2_code"":5301,""adm2_name"":""Port Augusta (C)""},{""adm2_code"":5302,""adm2_name"":""Port Lincoln (C)""},{""adm2_code"":5310,""adm2_name"":""Streaky Bay (DC)""},{""adm2_code"":5314,""adm2_name"":""Tumby Bay (DC)""},{""adm2_code"":5322,""adm2_name"":""Whyalla (C)""}]","[{""gid_2"":""AUS.8.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ceduna""},{""gid_2"":""AUS.8.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Cleve""},{""gid_2"":""AUS.8.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Elliston""},{""gid_2"":""AUS.8.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Franklin Harbour""},{""gid_2"":""AUS.8.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kimba""},{""gid_2"":""AUS.8.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lower Eyre Peninsula""},{""gid_2"":""AUS.8.47_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Port Augusta""},{""gid_2"":""AUS.8.48_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Port Lincoln""},{""gid_2"":""AUS.8.56_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Streaky Bay""},{""gid_2"":""AUS.8.60_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tumby Bay""},{""gid_2"":""AUS.8.68_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Whyalla""},{""gid_2"":""AUS.8.69_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Wudinna""}]",2005-12-01,2025-12-20
2008-0014-AUS,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,AUS,Australia,Australia and New Zealand,Oceania,"Brisbane, Southern Downs, Scenic Rim, Ipswich districts (Queensland province), Lismore, Richmond Valley, Kyogle, Tweed, Bellingen, Tenterfield, Ballina districts (New South Wales province)",Heavy rain,,No,No,No,,41560,Km2,-28.44,152.87,"Logan, Albert, Condamine, Macintyre, Tweedn Richmond, Coomera, Wilson, Bellinger, Boonoo, Clarence",2008,1,3,2008,1,9,1,,3000,,3000,,,,,90000,131127,68.63567228,"[{""adm2_code"":4946,""adm2_name"":""Ballina (A)""},{""adm2_code"":4953,""adm2_name"":""Bellingen (A)""},{""adm2_code"":5032,""adm2_name"":""Kyogle (A)""},{""adm2_code"":5038,""adm2_name"":""Lismore (C)""},{""adm2_code"":5091,""adm2_name"":""Tenterfield (A)""},{""adm2_code"":5094,""adm2_name"":""Tweed (A)""},{""adm2_code"":154636,""adm2_name"":""Richmond Valley (A)""},{""adm2_code"":154654,""adm2_name"":""Brisbane (C)""},{""adm2_code"":154672,""adm2_name"":""Ipswich (C)""},{""adm2_code"":154689,""adm2_name"":""Scenic Rim (R)""},{""adm2_code"":154692,""adm2_name"":""Southern Downs (R)""}]","[{""gid_2"":""AUS.5.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bellingen""},{""gid_2"":""AUS.5.113_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Richmond Valley""},{""gid_2"":""AUS.5.125_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tenterfield""},{""gid_2"":""AUS.5.129_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tweed""},{""gid_2"":""AUS.5.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ballina""},{""gid_2"":""AUS.5.76_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kyogle""},{""gid_2"":""AUS.5.82_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lismore""},{""gid_2"":""AUS.7.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ipswich""},{""gid_2"":""AUS.7.58_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Scenic Rim""},{""gid_2"":""AUS.7.61_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Southern Downs""},{""gid_2"":""AUS.7.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Brisbane""}]",2008-01-22,2025-12-20
